n-gram (n =2),Location
"{obsequellam,prosum}",prud. epil. 32 |2.4|
"{obsolesco,caducis}",prud. epil. 26 |2.4|
"{obsolesco,caducum}",prud. epil. 26 |2.4|
"{obsolesco,caducus}",prud. epil. 26 |2.4|
"{obsolesco,uasculum}",prud. epil. 26 |2.3|
"{obsoletum,caducis}",prud. epil. 26 |2.4|
"{obsoletum,caducum}",prud. epil. 26 |2.4|
"{obsoletum,caducus}",prud. epil. 26 |2.4|
"{obsoletum,uasculum}",prud. epil. 26 |2.3|
"{olla,fictilis}",prud. epil. 17 |3.4|
"{ollus,fictilis}",prud. epil. 17 |3.4|
"{omne,fio}",prud. epil. 21 |1.3|
"{omne,fit}",prud. epil. 21 |1.3|
"{omne,uas}",prud. epil. 21 |1.2|
"{omne,utile}",prud. epil. 21 |1.4|
"{omne,utilis}",prud. epil. 21 |1.4|
"{omnes,angulos}",prud. epil. 14 |4.5|
"{omnes,angulus}",prud. epil. 14 |4.5|
"{omnes,supellex}",prud. epil. 14 |4.6|
"{omnis,angulos}",prud. epil. 14 |4.5|
"{omnis,angulus}",prud. epil. 14 |4.5|
"{omnis,fio}",prud. epil. 21 |1.3|
"{omnis,fit}",prud. epil. 21 |1.3|
"{omnis,supellex}",prud. epil. 14 |4.6|
"{omnis,uas}",prud. epil. 21 |1.2|
"{omnis,utile}",prud. epil. 21 |1.4|
"{omnis,utilis}",prud. epil. 21 |1.4|
"{ore,christum}",prud. epil. 34 |2.4|
"{ore,christus}",prud. epil. 34 |2.4|
"{ore,personasse}",prud. epil. 34 |2.3|
"{os,christum}",prud. epil. 34 |2.4|
"{os,christus}",prud. epil. 34 |2.4|
"{os,personasse}",prud. epil. 34 |2.3|
"{parata,ligno}",prud. epil. 24 |5.6|
"{parata,lignum}",prud. epil. 24 |5.6|
"{paratus,ligno}",prud. epil. 24 |5.6|
"{paratus,lignum}",prud. epil. 24 |5.6|
"{pario,anguli}",prud. epil. 28 |2.4|
"{pario,angulus}",prud. epil. 28 |2.4|
"{pario,in}",prud. epil. 28 |2.3|
"{pario,maneo}",prud. epil. 28 |2.5|
"{pario,manere}",prud. epil. 28 |2.5|
"{pario,mano}",prud. epil. 28 |2.5|
"{paro,ligno}",prud. epil. 24 |5.6|
"{paro,lignum}",prud. epil. 24 |5.6|
"{pars,anguli}",prud. epil. 28 |2.4|
"{pars,angulus}",prud. epil. 28 |2.4|
"{pars,in}",prud. epil. 28 |2.3|
"{pars,maneo}",prud. epil. 28 |2.5|
"{pars,manere}",prud. epil. 28 |2.5|
"{pars,mano}",prud. epil. 28 |2.5|
"{parte,anguli}",prud. epil. 28 |2.4|
"{parte,angulus}",prud. epil. 28 |2.4|
"{parte,in}",prud. epil. 28 |2.3|
"{parte,maneo}",prud. epil. 28 |2.5|
"{parte,manere}",prud. epil. 28 |2.5|
"{parte,mano}",prud. epil. 28 |2.5|
"{paterno,atrio}",prud. epil. 25 |2.4|
"{paterno,atrium}",prud. epil. 25 |2.4|
"{paterno,atrius}",prud. epil. 25 |2.4|
"{paterno,in}",prud. epil. 25 |2.3|
"{paternus,atrio}",prud. epil. 25 |2.4|
"{paternus,atrium}",prud. epil. 25 |2.4|
"{paternus,atrius}",prud. epil. 25 |2.4|
"{paternus,in}",prud. epil. 25 |2.3|
"{pauper,possum}",prud. epil. 10 |4.5|
"{pauper,potens}",prud. epil. 10 |4.5|
"{pauper,potentes}",prud. epil. 10 |4.5|
"{pauperum,possum}",prud. epil. 10 |4.5|
"{pauperum,potens}",prud. epil. 10 |4.5|
"{pauperum,potentes}",prud. epil. 10 |4.5|
"{pedester,audio}",prud. epil. 12 |1.5|
"{pedester,audit}",prud. epil. 12 |1.5|
"{pedester,benignus}",prud. epil. 12 |1.4|
"{pedester,carmen}",prud. epil. 12 |1.2|
"{pedester,et}",prud. epil. 12 |1.3|
"{pedestre,audio}",prud. epil. 12 |1.5|
"{pedestre,audit}",prud. epil. 12 |1.5|
"{pedestre,benignus}",prud. epil. 12 |1.4|
"{pedestre,carmen}",prud. epil. 12 |1.2|
"{pedestre,et}",prud. epil. 12 |1.3|
"{per,angulos}",prud. epil. 14 |3.5|
"{per,angulus}",prud. epil. 14 |3.5|
"{per,omnes}",prud. epil. 14 |3.4|
"{per,omnis}",prud. epil. 14 |3.4|
"{per,supellex}",prud. epil. 14 |3.6|
"{personasse,christum}",prud. epil. 34 |3.4|
"{personasse,christus}",prud. epil. 34 |3.4|
"{pius,fidelis}",prud. epil. 2 |1.2|
"{pius,innocens}",prud. epil. 2 |1.3|
"{pius,pudicus}",prud. epil. 2 |1.4|
"{praestitisse,prodest}",prud. epil. 32 |3.4|
"{praestitisse,prodo}",prud. epil. 32 |3.4|
"{praestitisse,prosum}",prud. epil. 32 |3.4|
"{praesto,prodest}",prud. epil. 32 |3.4|
"{praesto,prodo}",prud. epil. 32 |3.4|
"{praesto,prosum}",prud. epil. 32 |3.4|
"{quercu,cauata}",prud. epil. 20 |2.4|
"{quercu,cauo}",prud. epil. 20 |2.4|
"{quercu,et}",prud. epil. 20 |2.5|
"{quercu,sum}",prud. epil. 20 |2.3|
"{quercu,sunt}",prud. epil. 20 |2.3|
"{quercu,ulmo}",prud. epil. 20 |2.6|
"{quercu,ulmus}",prud. epil. 20 |2.6|
"{quercus,cauata}",prud. epil. 20 |2.4|
"{quercus,cauo}",prud. epil. 20 |2.4|
"{quercus,et}",prud. epil. 20 |2.5|
"{quercus,sum}",prud. epil. 20 |2.3|
"{quercus,sunt}",prud. epil. 20 |2.3|
"{quercus,ulmo}",prud. epil. 20 |2.6|
