n-gram (n =2),Location
"{ad,caelestia}",prud. ham. 2.756 |5.6|
"{ad,caelestis}",prud. ham. 2.756 |5.6|
"{ad,caelum}",prud. ham. 2.379 |2.3|
"{ad,caelus}",prud. ham. 2.379 |2.3|
"{ad,congruens}",prud. epil. 22 |3.5|
"{ad,congruo}",prud. epil. 22 |3.5|
"{ad,consortia}",prud. ham. 2.741 |5.6|
"{ad,consortium}",prud. ham. 2.741 |5.6|
"{ad,conuexa}",prud. ham. 2.832 |4.5|
"{ad,conuexo}",prud. ham. 2.832 |4.5|
"{ad,conuexum}",prud. ham. 2.832 |4.5|
"{ad,conuexus}",prud. ham. 2.832 |4.5|
"{ad,crimen}",prud. ham. 2.366 |5.6|
"{ad,crimina}",prud. ham. 2.366 |5.6|
"{ad,crimino}",prud. ham. 2.366 |5.6|
"{ad,culpa}",prud. ham. 2.741 |5.7|
"{ad,culpae}",prud. ham. 2.741 |5.7|
"{ad,cum}",prud. ham. 2.554 |2.5|
"{ad,de}",prud. ham. 1.3 |2.4|
"{ad,detorqueo}",prud. ham. 2.554 |2.4|
"{ad,diuina}",prud. ham. 2.178 |5.6|
"{ad,diuino}",prud. ham. 2.178 |5.6|
"{ad,diuinum}",prud. ham. 2.178 |5.6|
