"player_api_id","player_name","overall_rating","gk_rating","appearances","league_appearances"
396888,"Alex Harris",62,53,27,1
430433,"Alex Henshall",60,47,1,1
604785,"Alex Iwobi",69,58,8,1
282274,"Alex Kacaniklic",73,118,33,1
470416,"Alex Kakuba",63,53,8,1
33913,"Alex Keddie",59,57,36,1
205034,"Alex Lopez",76,48,66,1
155122,"Alex MacDonald",62,103,6,1
39566,"Alex Manninger",77,389,59,2
264293,"Alex Martinez",72,67,12,1
119079,"Alex McCarthy",75,368,22,1
282689,"Alex Menendez",70,48,13,1
32924,"Alex Neil",69,135,70,1
196386,"Alex Oxlade-Chamberlain",79,49,49,1
49709,"Alex Pearce",72,118,18,1
213493,"Alex Perez",63,59,1,1
41136,"Alex Pinardi",71,150,9,1
408994,"Alex Portillo",54,52,1,1
157865,"Alex Sandro",82,136,98,2
262753,"Alex Schalk",67,50,57,2
34650,"Alex Silva",77,122,16,1
478988,"Alex Soares",71,47,53,1
23678,"Alex Song",83,142,174,2
428672,"Alex Telles",77,58,18,1
41975,"Alex Valentini",66,326,11,1
41766,"Alex Von Schwedler",65,50,1,1
150396,"Alex",78,99,15,1
163838,"Alex",75,118,24,1
26564,"Alex",87,130,159,3
186923,"Alexander Bannink",65,136,11,1
27306,"Alexander Baumjohann",74,135,37,1
118434,"Alexander Buettner",75,130,80,3
27535,"Alexander Bugera",69,139,31,1
317565,"Alexander Corryn",64,51,2,1
422127,"Alexander Cristovao",61,49,2,1
407765,"Alexander Djiku",60,48,21,1
128106,"Alexander Dragovic",78,120,77,1
147735,"Alexander Esswein",75,56,77,1
31672,"Alexander Farnerud",75,130,108,2
438780,"Alexander Fransson",69,49,14,1
34102,"Alexander Frei",81,112,116,2
71764,"Alexander Gerndt",72,113,104,2
190525,"Alexander Gonzalez",66,55,62,1
459000,"Alexander Hack",65,32,7,1
38206,"Alexander Iashvili",75,128,13,1
27297,"Alexander Laas",71,148,1,1
34420,"Alexander Madlung",76,139,94,1
40295,"Alexander Mathisen",66,117,4,1
27478,"Alexander Meier",79,154,163,1
192504,"Alexander Merkel",75,50,25,2
169569,"Alexander Milosevic",72,51,10,1
181333,"Alexander Ring",72,40,3,1
203755,"Alexander Scholz",74,48,52,1
248437,"Alexander Schwolow",69,343,1,1
440330,"Alexander Soerloth",65,58,6,1
71524,"Alexander Stephan",65,323,11,1
40100,"Alexander Tettey",75,165,103,2
3517,"Alexandr Kerzhakov",82,149,17,1
25824,"Alexandre Alphonse",69,120,72,2
750584,"Alexandre Azevedo",58,54,1,1
155075,"Alexandre Barthe",65,57,10,1
24122,"Alexandre Bonnet",69,143,6,1
